Code,FLEET NO.,REG NO.,OLB NO.,EXPIRY DATE,NOTE
A,4386,CA203747,1773674/3,31/01/2030,
A,4387,CA198574,1773640/3,31/08/2029,
A,4388,CA19420,1804943/2,31/07/2029,
A,4389,CA667557,1773667/3,31/07/2029,
A,4390,CA188770,1899819/1,31/07/2030,
A,4391,CA16789,1804948/2,31/07/2029,
,4392,CA159114,SCRAPPED,13/01/2021,
A,4393,CA156086,1907764/0,31/01/2024,
A,4394,CA143526,1804941/2,31/01/2030,
A,4395,CA154962,1773429/3,31/01/2030,
A,4396,CA142851,1804932/2,31/01/2030,
A,4397,CA143733,1899321/1,31/07/2030,
A,4398,CA144315,1804936/2,31/07/2029,
A,4399,CA149737,1804940/2,31/07/2029,
,4400,CA152525,1773651/3,,
,4401,CA156682,504128/4,,
,4402,CA157329,SCRAPPED,30/06/2015,
,4403,CA161232,1773447/3,31/01/2030,
,4404,CA161724,1773663/3,30/09/2029,
,4405,CA166405,1773653/3,30/09/2029,
,4406,CA171810,1773649/3,31/08/2029,
,4407,CA178425,SCRAPPED,07/10/2020,
,4408,CA180963,1773628/3,31/08/2029,
,4409,CA187703,1773629/3,30/09/2029,
,4410,CA191845,1773627/3,30/09/2029,
,4411,CA222876,1773652/3,31/09/2029,
,4412,CA206028,1773646/4,30/09/2029,
,4413,CA205226,1804923/2,30/09/2029,
,4414,CA201321,1896631/1,30/09/2027,
,4415,CA197477,1807133/2,30/09/2029,
,4416,CA194797,1824790/1,31/05/2024,
,4417,CA187218,504137/3,,
,4418,CA183717,1804925/2,31/08/2029,
,4419,CA144495,SCRAPPED,24/05/2018,
,4420,CA119971,504979/5,,
,4421,CA116197,1804918/3,30/09/2029,
,4422,CA116967,1794877/3,31/10/2028,
,4423,CA103190,507637/5,,
,4424,CA176301,507729/5,,
,4425,CA10846,503785/3,,
,4426,CA665265,507437/5,,
,4427,CA663887,SCRAPPED,15/07/2014,
,4428,CA661857,1805220/2,31/03/2030,
,4429,CA654247,503901/3,,
,4430,CA646100,1804919/2,31/01/2030,
,4431,CA642191,506409/4,,
,4432,CA63676,1804921/2,31/01/2030,
,4433,CA63188,507495/2,,
,4434,CA626974,507992/2,,
,4436,CA613362,507498/2,,
,4437,CA611979,507416/2,,
,4438,CA606940,SCRAPPED,07/06/2018,
,4439,CA597678,SCRAPPED,23/12/2015,
,4440,CA601327,74606555/2,,
,4441,CA420789,503855/6,,
,4442,CA437294,503931/3,,
,4443,CA44090,507440/2,,
,4444,CA448691,508123/5,,
,4445,CA533089,507761/5,,
,4446,CA534949,504036/3,,
,4447,CA535938,507994/5,,
,4448,CA542083,507571/6,,
,4449,CA551697,507573/5,,
,4450,CA553536,507759/4,,
,4451,CA557153,507756/5,,
,4452,CA564556,507748/5,,
,4453,CA567702,503968/5,,
,4454,CA580700,507613/3,,
,4455,CA582231,507746/3,,
,4456,CA583399,507662/3,,
,4457,CA590471,503995/3,,
,4458,CA591271,507726/5,,
,4459,CA604966,503932/3,,
,4460,CA606711,507556/6,,
PH,4461,CA109962,504135/3,,PERMIT NOT IN FILE
,4462,CA42276,1847044/1,31/10/2027,
,4463,CA74006,1806933/2,30/09/2029,
,4464,CA601164,506398/5,,
PH,4465,CA717600,504045/3,,PERMIT IN FILE
SG,4466,CA740501,503776/5,,PERMIT IN FILE
,4467,CA780431,SCRAPPED,17/10/2014,
PH,4468,CA780417,504147/3,,
,4469,CA335464,510223/6,,PTO
,4470,CA259166,SCRAPPED,17/10/2019,
,4471,CA275967,504143/3,,
,4472,CA306714,506404/5,,
,4473,CA564179,1901513/2,30/09/2030,
,4474,CA679635,1583349/3,,
,4475,CA69113,507523/6,,
,4476,CA171012,507996/5,,COPY OF PERMIT
,4477,CA117822,506401/6,,
,4478,CA165885,507568/5,,
,4479,CA177992,503975/3,,
,4480,CA192408,507665/3,,
,4481,CA194938,503991/3,,
,4482,CA802368,503876/2,,
,4483,CA805061,507970/4,,
,4484,CA805068,507971/4,,
,4485,CA805073,507703/2,,
,4486,CA805084,503858/5,,
,4487,CA805104,504009/4,,
,4488,CA805092,508122/2,,COPY OF PERMIT
,4489,CA814643,504179/5,,
,4490,CA814658,503799/2,,
,4491,CA814660,SCRAPPED,07/11/2012,
,4492,CA814682,1805967/0,,
,4493,CA814682,507762/3,,
,4494,CA814706,507667/2,,
,4495,CA814718,504200/4,,
,4496,CA828703,507763/5,,COPY OF PERMIT
,4497,CA828727,508015/5,,COPY OF PERMIT
,4498,CA828737,507483/5,,
,4499,CA828760,503990/3,,
,4500,CA500000,503863/4,,
,4501,CA828776,503837/4,,
,4502,CA828782,504022/3,,
,4503,CA421253,SCRAPPED,07/12/2020,
,4504,CA425469,SCRAPPED,17/10/2014,
,4505,CA448848,507502/2,,
,4506,CA421929,503915/5,,
,4507,CA432717,503825/2,,
,4508,CA833588,503803/2,,
,4509,CA463590,506044/4,,
,4510,CA846299,503899/6,,
,4511,CA846307,508574/6,,
,4512,CA847250,503824/3,,
,4513,CA696500,SCRAPPED,18/08/2023,
,4514,CA743773,504166/5,,
,4515,CA788166,505818/6,,
,4516,CA842278,507747/3,,
,4517,CA703836,504144/3,,
,4518,CA703932,505819/6,,
,4519,CA855522,1805232/2,,
,4520,CA85529,746026976/2,,
SG,4521,CA855515,1805231/2,30/11/2029,
SG,4522,CA855504,503925/6,,
SG,4523,CA855500,507586/5,,
SG,4524,CA330184,SCRAPPED,19/04/2016,
